Tahun,Bulan,Luas Lahan,Luas Panen (ha),Produksi Padi (ton),curah hujan
2013,Januari,38111,15,90.3,343.7
2013,Februari,38111,1948,11767.87,201.1
2013,Maret,38111,24877,151724.82,262.8
2013,April,38111,5218,32095.92,197.2
2013,Mei,38111,671,3983.73,206.7
2013,Juni,38111,2591,59735.42,128
2013,Juli,38111,2874,63961.14,91.7
2013,Agustus,38111,974,17902.15,35
2013,September,38111,671,16069.38,0
2013,Oktober,38111,1581,9797.46,15.06
2013,November,38111,891,6504.3,161.8
2013,Desember,38111,97,630.5,350.3
2014,Januari,38200,302.16,1988.21,373.7
2014,Februari,38200,2707.72,17925.11,243.4
2014,Maret,38200,21900.53,145529.02,319.6
2014,April,38200,6491,42535.52,316.1
2014,Mei,38200,1981.57,12105.41,202
2014,Juni,38200,10696.36,65237.1,224.4
2014,Juli,38200,10376.66,63868.34,171.5
2014,Agustus,38200,1713.52,10263.98,4
2014,September,38200,2843.2,16746.45,0
2014,Oktober,38200,2037.12,12801.26,0
2014,November,38200,686.19,4303.1,0
2014,Desember,38200,79.93,498.52,0
2015,Januari,37558,73,476.33,270
2015,Februari,37558,720,4698,324
2015,Maret,37558,22541,147080.02,259
2015,April,37558,6775,44206.87,225
2015,Mei,37558,1742,11366.55,77
2015,Juni,37558,11359,74117.47,0
2015,Juli,37558,8454,55162.35,0
2015,Agustus,37558,3229,21069.22,0
2015,September,37558,2623,17115.07,0
2015,Oktober,37558,416,2714.4,0
2015,November,37558,2928,19105.2,63
2015,Desember,37558,58,378.45,125
2016,Januari,38053,268,1726.2,224
2016,Februari,38053,962,6253.2,308
2016,Maret,38053,24524.4,154993.6,266
2016,April,38053,7582.2,46114.9,224
2016,Mei,38053,903.5,5805.3,266
2016,Juni,38053,10279.2,66146.6,238
2016,Juli,38053,11016.1,70568.9,224
2016,Agustus,38053,4300.4,26339.8,140
2016,September,38053,1517.6,9721.8,266
2016,Oktober,38053,1228.1,7921.4,322
2016,November,38053,3410.5,22110.1,224
2016,Desember,38053,313.9,2010.9,224
2017,Januari,35779,1014.6,6963,220
2017,Februari,35779,16619.6,114260,290
2017,Maret,35779,13043.1,86737,298
2017,April,35779,2602.3,17318,223
2017,Mei,35779,7856.2,49808,199
2017,Juni,35779,10200.2,63853,169
2017,Juli,35779,5387.1,33696,178
2017,Agustus,35779,3822.9,23817,261
2017,September,35779,2807.1,18106,0
2017,Oktober,35779,2776.9,18508,0
2017,November,35779,1558.7,10568,370
2017,Desember,35779,274.9,1864,178
