Tahun,Bulan,curah hujan (mm)
2018,Januari,296.10 
2018,Februari,273.90 
2018,Maret,250.60 
2018,April,177.30 
2018,Mei,41.30 
2018,Juni,0.00 
2018,Juli,0.00 
2018,Agustus,0.00 
2018,September,133.30 
2018,Oktober,142.00 
2018,November,317.10 
2018,Desember,311.30 
2019,Januari,330.50 
2019,Februari,260.50 
2019,Maret,404.00 
2019,April,256.33 
2019,Mei,95.16 
2019,Juni,0.00 
2019,Juli,0.00 
2019,Agustus,0.00 
2019,September,0.00 
2019,Oktober,9.00 
2019,November,60.33 
2019,Desember,149.50 
2020,Januari,589.90 
2020,Februari,400.00 
2020,Maret,163.80 
2020,April,235.60 
2020,Mei,298.80 
2020,Juni,115.40 
2020,Juli,51.80 
2020,Agustus,19.70 
2020,September,2.00 
2020,Oktober,84.50 
2020,November,239.70 
2020,Desember,543.10 
2021,Januari,732.70 
2021,Februari,114.50 
2021,Maret,93.70 
2021,April,117.50 
2021,Mei,99.90 
2021,Juni,112.00 
2021,Juli,9.80 
2021,Agustus,8.30 
2021,September,213.80 
2021,Oktober,260.30 
2021,November,467.70 
2021,Desember,255.80 
2022,Januari,213
2022,Februari,296
2022,Maret,232
2022,April,169
2022,Mei,134
2022,Juni,319
2022,Juli,150
2022,Agustus,514
2022,September,243
2022,Oktober,376
2022,November,526
2022,Desember,321
