Bulan,Luas Lahan,Luas Panen (ha),Produksi Padi (ton),curah hujan
Januari,38111,15,90.3,343.7
Februari,38111,1948,11767.87,201.1
Maret,38111,24877,151724.82,262.8
April,38111,5218,32095.92,197.2
Mei,38111,671,3983.73,206.7
Juni,38111,2591,59735.42,128
Juli,38111,2874,63961.14,91.7
Agustus,38111,974,17902.15,35
September,38111,671,16069.38,0
Oktober,38111,1581,9797.46,15.06
November,38111,891,6504.3,161.8
Desember,38111,97,630.5,350.3
Januari,38200,302.16,1988.21,373.7
Februari,38200,2707.72,17925.11,243.4
Maret,38200,21900.53,145529.02,319.6
April,38200,6491,42535.52,316.1
Mei,38200,1981.57,12105.41,202
Juni,38200,10696.36,65237.1,224.4
Juli,38200,10376.66,63868.34,171.5
Agustus,38200,1713.52,10263.98,4
September,38200,2843.2,16746.45,0
Oktober,38200,2037.12,12801.26,0
November,38200,686.19,4303.1,0
Desember,38200,79.93,498.52,0
Januari,37558,73,476.33,270
Februari,37558,720,4698,324
Maret,37558,22541,147080.02,259
April,37558,6775,44206.87,225
Mei,37558,1742,11366.55,77
Juni,37558,11359,74117.47,0
Juli,37558,8454,55162.35,0
Agustus,37558,3229,21069.22,0
September,37558,2623,17115.07,0
Oktober,37558,416,2714.4,0
November,37558,2928,19105.2,63
Desember,37558,58,378.45,125
Januari,38053,268,1726.2,224
Februari,38053,962,6253.2,308
Maret,38053,24524.4,154993.6,266
April,38053,7582.2,46114.9,224
Mei,38053,903.5,5805.3,266
Juni,38053,10279.2,66146.6,238
Juli,38053,11016.1,70568.9,224
Agustus,38053,4300.4,26339.8,140
September,38053,1517.6,9721.8,266
Oktober,38053,1228.1,7921.4,322
November,38053,3410.5,22110.1,224
Desember,38053,313.9,2010.9,224
Januari,35779,1014.6,6963,220
Februari,35779,16619.6,114260,290
Maret,35779,13043.1,86737,298
April,35779,2602.3,17318,223
Mei,35779,7856.2,49808,199
Juni,35779,10200.2,63853,169
Juli,35779,5387.1,33696,178
Agustus,35779,3822.9,23817,261
September,35779,2807.1,18106,0
Oktober,35779,2776.9,18508,0
November,35779,1558.7,10568,370
Desember,35779,274.9,1864,178
