Bulan,Luas Lahan,Luas Panen (ha),Produksi Padi (ton),Tahun,curah hujan (mm)
Januari,38111,15.0,90.3,2013,343.7
Januari,38111,15.0,90.3,2014,373.7
Januari,38111,15.0,90.3,2015,270.0
Januari,38111,15.0,90.3,2016,224.0
Januari,38111,15.0,90.3,2017,220.0
Januari,38111,15.0,90.3,2018,296.1
Januari,38111,15.0,90.3,2019,330.5
Januari,38111,15.0,90.3,2020,589.9
Januari,38111,15.0,90.3,2021,732.7
Januari,38111,15.0,90.3,2022,213.0
Januari,38200,302.16,1988.21,2013,343.7
Januari,38200,302.16,1988.21,2014,373.7
Januari,38200,302.16,1988.21,2015,270.0
Januari,38200,302.16,1988.21,2016,224.0
Januari,38200,302.16,1988.21,2017,220.0
Januari,38200,302.16,1988.21,2018,296.1
Januari,38200,302.16,1988.21,2019,330.5
Januari,38200,302.16,1988.21,2020,589.9
Januari,38200,302.16,1988.21,2021,732.7
Januari,38200,302.16,1988.21,2022,213.0
Januari,37558,73.0,476.33,2013,343.7
Januari,37558,73.0,476.33,2014,373.7
Januari,37558,73.0,476.33,2015,270.0
Januari,37558,73.0,476.33,2016,224.0
Januari,37558,73.0,476.33,2017,220.0
Januari,37558,73.0,476.33,2018,296.1
Januari,37558,73.0,476.33,2019,330.5
Januari,37558,73.0,476.33,2020,589.9
Januari,37558,73.0,476.33,2021,732.7
Januari,37558,73.0,476.33,2022,213.0
Januari,38053,268.0,1726.2,2013,343.7
Januari,38053,268.0,1726.2,2014,373.7
Januari,38053,268.0,1726.2,2015,270.0
Januari,38053,268.0,1726.2,2016,224.0
Januari,38053,268.0,1726.2,2017,220.0
Januari,38053,268.0,1726.2,2018,296.1
Januari,38053,268.0,1726.2,2019,330.5
Januari,38053,268.0,1726.2,2020,589.9
Januari,38053,268.0,1726.2,2021,732.7
Januari,38053,268.0,1726.2,2022,213.0
Januari,35779,1014.6,6963.0,2013,343.7
Januari,35779,1014.6,6963.0,2014,373.7
